"seq ID","A1","R1","R2","R3","R4","R5","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","N11","N12","N13","N14","N15","N16","N17"
"1","1","1","2","2","1","1","2","2","1","2","2","2","2","2","2","2","2","1","1","2","1","1","2"
"1","1","1","2","2","1","1","1","2","1","1","1","1","1","2","1","2","1","1","1","2","1","2","2"
"1","1","1","2","2","1","1","2","2","2","2","1","1","1","2","2","2","1","2","1","1","1","2","2"
"1","1","1","2","2","1","1","2","2","2","2","2","2","1","2","1","2","2","2","2","2","2","1","2"
"1","1","1","2","2","1","1","1","1","1","1","1","2","1","2","2","2","2","2","1","2","1","2","1"
"1","1","1","2","2","1","1","1","2","1","2","2","2","1","2","1","1","2","1","2","2","2","1","2"
"1","1","1","2","2","1","1","1","1","2","2","2","1","1","2","1","1","2","1","1","2","1","2","1"
"1","1","1","2","2","1","1","2","2","1","1","1","2","1","1","2","1","2","2","1","1","2","2","1"
"1","1","1","2","2","1","1","2","2","1","2","1","1","1","1","1","2","1","2","1","2","2","2","1"
"1","1","1","2","2","1","1","2","1","2","1","2","2","1","2","1","2","2","2","1","2","2","1","1"
"2","1","2","1","1","1","1","1","2","1","2","2","2","1","2","2","1","1","2","1","1","1","1","1"
"2","1","2","1","1","1","1","1","1","2","1","1","2","1","2","2","1","1","2","2","1","2","2","1"
"2","1","2","1","1","1","1","1","1","2","1","2","2","1","1","2","1","2","2","1","2","1","1","2"
"2","1","2","1","1","1","1","2","1","1","1","1","1","2","2","1","2","2","2","2","2","1","2","1"
"2","1","2","1","1","1","1","2","1","1","2","2","2","1","1","1","1","2","2","2","1","1","1","2"
"2","1","2","1","1","1","1","1","2","2","2","1","2","2","2","2","2","2","1","1","1","2","2","1"
"2","1","2","1","1","1","1","1","2","2","1","2","1","1","1","2","2","1","1","1","2","2","1","1"
"2","1","2","1","1","1","1","2","2","1","2","1","1","1","1","2","2","2","2","2","2","2","2","2"
"2","1","2","1","1","1","1","2","1","2","2","2","1","1","1","2","2","2","2","2","2","1","1","1"
"2","1","2","1","1","1","1","1","2","1","2","2","1","2","2","1","2","2","2","1","2","2","2","2"
"3","1","1","2","2","1","1","1","2","2","2","2","2","1","2","1","1","1","2","2","2","1","1","1"
"3","1","1","2","2","1","1","1","1","2","2","1","2","1","1","2","2","2","2","1","2","1","2","2"
"3","1","1","2","2","1","1","2","2","2","2","1","2","1","1","1","2","2","2","2","2","1","2","1"
"3","1","1","2","2","1","1","2","2","2","1","2","1","1","1","2","2","1","1","1","2","2","1","2"
"3","1","1","2","2","1","1","2","2","1","1","1","2","1","1","1","2","1","1","1","2","2","2","2"
"3","1","1","2","2","1","1","2","2","2","2","2","2","1","1","1","2","2","2","2","2","1","1","2"
"3","1","1","2","2","1","1","1","1","1","2","1","1","1","2","2","2","1","1","1","2","1","2","2"
"3","1","1","2","2","1","1","2","2","2","1","1","2","2","2","2","1","1","2","2","1","1","2","1"
